Year.GHD;Bor;Bur;Cha2;LLV;Spa;Swi
1678;NA;15.25;NA;NA;54.0;36.9
1679;NA;18.75;NA;NA;43.0;34.3
1680;NA;5.75;NA;NA;46.0;40.8
1681;NA;5.75;NA;NA;37.0;38.8
1682;NA;26.25;NA;NA;44.0;57.6
1683;NA;7.75;NA;NA;37.0;41.5
1684;NA;-1.25;NA;NA;45.0;27.8
1685;NA;9.25;NA;NA;40.0;45.0
1686;NA;-0.25;NA;NA;35.0;33.5
1687;NA;23.25;NA;NA;40.0;41.6
1688;NA;23.25;NA;NA;51.0;45.7
1689;NA;24.50;NA;NA;36.0;50.6
1690;NA;18.50;NA;NA;52.0;46.7
1691;21.0;17.00;NA;NA;38.0;42.1
1692;NA;35.50;NA;NA;44.0;66.2
1693;NA;27.87;NA;NA;57.0;42.3
1694;NA;13.00;NA;NA;43.0;41.0
1695;NA;29.50;NA;NA;51.0;60.9
1696;34.5;27.50;NA;NA;41.0;47.3
1697;19.5;23.00;NA;NA;55.0;45.1
1698;46.5;38.00;NA;NA;52.0;67.6
1699;25.5;21.00;NA;NA;34.0;47.4
1700;NA;30.33;NA;NA;49.0;58.0
1701;NA;23.75;NA;NA;54.0;50.3
1702;NA;17.25;NA;NA;48.0;57.0
1703;NA;24.01;NA;NA;41.0;57.4
1704;NA;12.00;NA;NA;NA;34.2
1705;NA;26.83;NA;NA;NA;55.1
1706;NA;4.83;NA;NA;NA;37.6
1707;NA;21.08;NA;NA;NA;50.1
1708;NA;22.25;NA;NA;NA;45.4
1709;NA;30.58;NA;NA;NA;48.0
1710;NA;18.25;NA;NA;NA;43.1
1711;NA;24.25;NA;NA;43.0;56.0
1712;NA;26.58;NA;NA;44.0;47.6
1713;NA;33.93;NA;NA;52.0;59.8
1714;NA;28.01;NA;NA;58.0;57.8
1715;NA;25.75;NA;NA;NA;44.1
1716;NA;30.87;NA;NA;36.0;62.0
1717;NA;24.00;NA;NA;37.0;51.0
1718;NA;2.87;NA;NA;23.0;36.4
1719;NA;-2.00;NA;NA;30.0;49.0
1720;NA;26.58;NA;NA;45.0;56.5
1721;NA;30.87;NA;NA;45.0;60.7
1722;NA;23.25;NA;NA;36.0;45.2
1723;NA;16.50;NA;NA;34.0;46.0
1724;NA;16.93;NA;NA;29.0;47.8
1725;NA;40.87;NA;NA;49.0;64.8
1726;NA;9.08;NA;NA;41.0;32.0
1727;NA;10.05;NA;NA;41.0;47.0
1728;NA;13.93;NA;NA;41.0;46.8
1729;NA;29.87;NA;NA;44.0;46.3
1730;NA;27.93;NA;NA;44.0;55.4
1731;NA;19.74;NA;NA;43.0;52.8
1732;NA;19.16;NA;NA;52.0;50.3
1733;22.0;23.18;NA;NA;43.0;50.6
1734;NA;16.55;NA;NA;33.0;47.3
1735;42.0;36.01;NA;NA;53.0;54.6
1736;18.0;17.86;NA;NA;43.0;49.6
1737;15.0;16.93;NA;NA;51.0;45.7
1738;30.0;29.55;NA;NA;42.0;44.0
1739;NA;23.00;NA;NA;55.0;46.2
1740;NA;47.16;NA;NA;NA;65.2
1741;14.0;26.43;NA;NA;33.0;51.3
1742;NA;31.87;NA;NA;NA;61.5
1743;NA;26.50;NA;NA;49.0;61.6
1744;NA;30.16;NA;NA;NA;51.2
1745;NA;30.50;NA;NA;38.0;55.5
1746;30.0;26.87;NA;NA;48.0;45.8
1747;26.0;32.16;NA;NA;59.0;45.3
1748;NA;26.00;NA;NA;40.0;52.0
1749;31.0;29.16;NA;NA;47.0;49.7
1750;25.0;24.50;NA;NA;44.0;49.0
1751;36.0;35.87;NA;NA;44.0;58.6
1752;33.5;28.50;NA;NA;37.0;55.4
1753;27.8;19.87;NA;NA;33.0;49.0
1754;43.4;30.87;NA;NA;40.0;52.2
1755;25.8;16.87;NA;NA;45.0;51.1
1756;37.0;34.65;NA;NA;54.0;58.2
1757;31.0;26.65;NA;NA;43.0;52.8
1758;39.0;25.65;NA;NA;49.0;55.6
1759;23.0;24.16;NA;NA;NA;38.6
1760;20.0;15.87;NA;NA;48.0;38.6
1761;20.0;14.87;NA;NA;42.0;39.6
1762;18.0;15.87;NA;NA;35.0;38.0
1763;34.0;35.87;NA;NA;48.0;56.2
1764;24.0;12.87;NA;NA;29.0;48.0
1765;32.0;24.00;NA;NA;44.0;53.5
1766;35.0;26.16;NA;NA;42.0;47.6
1767;32.5;35.87;NA;NA;35.0;58.0
1768;27.0;27.87;NA;NA;38.0;51.3
1769;28.0;27.87;NA;NA;36.0;52.7
1770;42.0;36.00;NA;NA;50.0;58.0
1771;25.0;26.65;NA;NA;42.0;44.6
1772;22.0;24.65;NA;NA;NA;45.7
1773;36.5;27.87;NA;NA;40.0;59.0
1774;28.0;22.65;NA;NA;46.0;41.6
1775;25.0;25.87;NA;NA;42.0;50.6
1776;33.0;30.87;NA;NA;NA;47.0
1777;38.0;31.65;NA;NA;NA;50.8
1778;29.0;23.25;NA;NA;NA;40.3
1779;27.0;23.50;NA;NA;41.0;42.9
1780;26.0;19.16;NA;NA;NA;33.9
1781;21.0;10.87;NA;NA;NA;31.3
1782;27.0;30.87;NA;NA;46.0;48.0
1783;19.0;18.00;NA;NA;45.0;41.3
1784;20.0;15.86;NA;NA;42.0;38.2
1785;15.0;22.76;NA;NA;NA;53.6
1786;22.0;26.76;NA;NA;41.0;49.3
1787;34.0;33.87;NA;NA;46.0;50.8
1788;11.5;15.87;NA;NA;35.0;32.6
1789;37.0;37.65;NA;NA;43.0;52.3
1790;23.0;27.76;NA;NA;43.0;48.6
1791;26.0;19.65;NA;NA;43.0;37.0
1792;28.0;33.65;NA;NA;39.0;42.6
1793;NA;23.87;NA;NA;38.0;32.8
1794;NA;15.65;NA;NA;45.0;29.7
1795;26.3;26.87;NA;NA;43.0;35.3
1796;31.3;37.65;NA;NA;41.0;47.6
1797;29.8;38.87;NA;NA;44.0;36.0
1798;26.8;19.00;NA;NA;39.0;36.1
1799;27.8;39.16;NA;NA;44.0;58.0
1800;23.8;25.51;NA;NA;NA;32.8
1801;14.3;28.16;NA;37.1;NA;34.6
1802;22.0;23.87;NA;40.1;NA;31.9
1803;25.2;29.65;NA;44.1;NA;44.5
1804;14.2;29.87;NA;37.1;NA;40.3
1805;22.2;45.87;NA;58.1;NA;55.1
1806;20.2;27.87;32.0;37.1;NA;41.6
1807;11.3;24.87;NA;33.1;NA;29.7
1808;13.0;29.00;NA;33.1;NA;42.2
1809;28.7;46.16;NA;52.1;NA;60.0
1810;19.3;31.87;NA;45.1;NA;46.5
1811;13.2;14.00;NA;29.1;NA;32.4
1812;21.3;38.87;NA;51.1;NA;53.9
1813;34.2;41.16;NA;55.1;NA;55.6
1814;29.2;36.51;NA;53.1;NA;54.8
1815;25.2;23.00;NA;41.1;NA;40.5
1816;57.2;54.50;NA;65.1;NA;71.2
1817;33.2;41.87;NA;52.7;NA;49.5
1818;16.2;26.87;NA;30.7;NA;39.5
1819;21.2;26.16;NA;43.7;NA;42.8
1820;27.2;41.87;NA;53.1;NA;47.7
1821;33.2;47.87;NA;58.1;NA;60.2
1822;-5.8;3.00;-13.0;16.1;NA;15.7
1823;36.6;44.00;NA;57.1;NA;52.1
1824;33.6;42.00;NA;51.7;NA;46.7
